 192  23.6  26.6         b6
 193  43.4  14.0         b7
 194  64.1   9.5         b8
 195  84.9   7.1         b9
 196  84.9 187.1         c1
 197  64.1 189.5         c2
 198  43.4 194.0         c3
 199  23.6 206.6         c4
 200  10.5 270.0         c5
 201  23.6 333.4         c6
 202  43.4 346.0         c7
 203  64.1 350.5         c8
 204  84.9 352.9         c9
 205  90.0 200.6         d1
 206  70.7 206.6         d2
 207  52.7 216.9         d3
 208  38.0 236.3         d4
 209   0.0   0.0          X
 210   0.0   0.0          Y
 211  33.0 200.0        c34
 212 112.5 216.0         P9
 213 112.5 234.0        PO9
 214 112.5 324.0        P10
 215 112.5 306.0       PO10
 216 112.5 144.0         F9
 217 112.5  36.0        F10
 218   0.0   0.0        DUM
 219   0.0   0.0        DUM
 220  70.7 168.3        FT5
 221  70.7  11.8        FT6
 222 101.2 207.0        MT1
 223 101.2 333.0        MT2
 224  86.3 258.9         A0
 225  86.3 262.6         A1
 226  86.3 266.3         A2
 227  86.3 270.0         A3
 228  86.3 273.7         A4
 229  86.3 277.4         A5
 230  90.0 262.6         B1
 231  90.0 266.3         B2
 232  90.0 270.0         B3
 233  90.0 273.7         B4
 234  90.0 277.4         B5
 235  93.7 262.6         C1
 236  93.7 266.3         C2
 237  93.7 270.0         C3
 238  93.7 273.7         C4
 239  93.7 277.4         C5
 240  82.6 255.2        V41
 241  82.6 258.9        V42
 242  86.3 281.1         A6
 243   0.0   0.0        DUM
 244   0.0   0.0        DUM
 245   0.0   0.0        DUM
 246   0.0   0.0        DUM
 247   0.0   0.0        DUM
 248   0.0   0.0        DUM
 249   0.0   0.0        DUM
 250   0.0   0.0         BO
 251   0.0   0.0         PA
 252   0.0   0.0         PP
 253   0.0   0.0         EC
 254   0.0   0.0         m1
 255  10.3  90.0         m2
 256  10.3  30.0         m3
 257  10.3 330.0         m4
 258  10.3 270.0         m5
 259  10.3 210.0         m6
 260  10.3 150.0         m7
 261  20.7  90.0         m8
 262  20.7  60.0         m9
 263  20.7  30.0        m10
 264  20.7   0.0        m11
 265  20.7 330.0        m12
 266  20.7 300.0        m13
 267  20.7 270.0        m14
 268  20.7 240.0        m15
 269  20.7 210.0        m16
 270  20.7 180.0        m17
 271  20.7 150.0        m18
 272  20.7 120.0        m19
 273  31.0  90.0        m20
 274  31.0  70.0        m21
 275  31.0  50.0        m22
 276  31.0  30.0        m23
 277  31.0  10.0        m24
